,nasdaq100,nifty50,gold
2009-08-27,79632.99053796753,4688.2001953125,45883.22388458252
2009-08-28,79743.15004550293,4732.35009765625,46441.29588317871
2009-08-31,79322.26847789437,4662.10009765625,46450.572917883284
2009-09-01,78023.80488162115,4625.35009765625,46677.19136525877
2009-09-02,77853.47696257569,4608.35009765625,47690.30678660888
2009-09-03,78400.73196079955,4593.5498046875,48612.96459420165
2009-09-04,79967.29993767757,4680.39990234375,48569.03018125612
2009-09-08,80158.99696574546,4805.25,48338.27581221005
2009-09-09,81081.17926174589,4814.25,48345.702913143905
2009-09-10,81600.03039218998,4819.39990234375,48171.389783941675
2009-09-11,81566.15104700252,4829.5498046875,48631.132793508936
2009-09-14,82098.24257051758,4808.60009765625,48466.15475469362
2009-09-15,81825.57263493072,4892.10009765625,48386.7299079895
2009-09-16,82773.51445117034,4958.39990234375,48927.5796387787
2009-09-17,82677.71667918982,4965.5498046875,48628.86499091494
2009-09-18,82877.07554452028,4976.0498046875,48479.948369299294
2009-09-22,83151.34832149139,5020.2001953125,48631.90500199585
2009-09-23,82606.32972694002,4969.9501953125,48530.804958343506
2009-09-24,81962.47487854492,4986.5498046875,47818.15472602844
2009-09-25,81214.16340504913,4958.9501953125,47468.20791321411
2009-09-29,82121.80715988623,5006.85009765625,47480.111196578946
2009-09-30,82061.14237018861,5083.9501953125,48119.90295410156
2009-10-01,79367.77436175104,5083.39990234375,47604.184352874756
2009-10-05,78403.19781949464,5003.2001953125,47571.394501983654
2009-10-06,79461.2387714386,5027.39990234375,48396.68121861573
2009-10-07,79053.57328552101,4985.75,48219.240096627735
2009-10-08,79805.08994930238,5002.25,49031.77452747803
2009-10-09,80268.27485005371,4945.2001953125,48678.69486031495
2009-10-12,80052.4671522989,5054.25,48907.24483977351
2009-10-14,80608.24878712464,5118.2001953125,48886.206933517475
2009-10-15,81005.2326609497,5108.85009765625,48500.76305679325
2009-10-16,80356.5828455505,5142.14990234375,48542.33854576107
2009-10-20,81487.21596098319,5114.4501953125,49081.92387969978
2009-10-21,81628.21938967891,5063.60009765625,49515.23191551212
2009-10-22,81859.53180862125,4988.60009765625,49111.54215194099
2009-10-23,81417.53632846009,4997.0498046875,49009.39714836422
2009-10-26,81311.21116733551,4970.89990234375,48509.753068466205
2009-10-27,80848.82517339662,4846.7001953125,48566.74602391664
2009-10-28,79356.2318056263,4826.14990234375,48588.624797589146
2009-10-29,80734.29938374087,4750.5498046875,49367.06182075199
2009-10-30,78218.40434804931,4711.7001953125,48780.64154758304
2009-11-03,79342.1976928711,4563.89990234375,51233.177307128906
2009-11-04,78655.35677439114,4710.7998046875,50857.55688575748
2009-11-05,80784.52034296235,4765.5498046875,51101.3980090851
2009-11-06,80895.72576146852,4796.14990234375,51184.97469697567
2009-11-09,81997.17238599854,4898.39990234375,51041.89669765625
2009-11-10,82129.69150239322,4881.7001953125,51037.80620512087
2009-11-11,82743.14302073512,5003.9501953125,51698.51305389404
2009-11-12,82734.7128129364,4952.64990234375,51605.95983123779
2009-11-13,82737.51966529572,4998.9501953125,51628.5520235016
2009-11-16,83129.6901286561,5058.0498046875,52364.21478829952
2009-11-17,83778.46566457674,5062.25,52646.72573602293
2009-11-18,83060.21080056764,5054.7001953125,52586.266008453444
2009-11-19,82541.99041962437,4989.0,53132.1702656555
2009-11-20,82114.71289708558,5052.4501953125,53353.45818579104
2009-11-23,83120.69677791744,5103.5498046875,53976.95097430423
2009-11-24,82703.3736371994,5090.5498046875,53962.64911079407
2009-11-25,82526.75571130821,5108.14990234375,54609.26813111873
2009-11-27,82005.61653248593,4941.75,54541.58862777706
2009-11-30,82111.26575892884,5032.7001953125,54871.54288203735
2009-12-01,82642.2572199069,5122.0,55431.99443985289
2009-12-02,82735.88288484188,5123.25,55994.40092468262
2009-12-03,82013.86157226562,5131.7001953125,56000.401123046875
2009-12-04,82639.30701098358,5108.89990234375,53902.720687524416
2009-12-07,82882.64666727139,5066.7001953125,54060.87059476925
2009-12-08,82641.12628359161,5147.9501953125,53275.05271114502
2009-12-09,83271.15910965577,5112.0,52129.97219916992
2009-12-10,83703.09623339446,5134.64990234375,52365.31208064873
