date,equity
2019-04-22,17177444.62
2019-04-29,16749113.63
2019-05-06,16860434.91
2019-05-13,17288726.07
2019-05-20,17424444.58
2019-05-27,17139191.74
2019-06-03,16951603.8
2019-06-10,16826144.66
2019-06-17,17041587.86
2019-06-24,16866261.34
2019-07-01,16409320.26
2019-07-08,16171920.13
2019-07-15,16129873.88
2019-07-22,16025824.96
2019-07-29,16042570.85
2019-08-05,16013360.3
2019-08-12,15938431.21
2019-08-19,16096724.91
2019-08-26,16016029.0
2019-09-02,16081574.77
2019-09-09,16164537.82
2019-09-16,16375574.24
2019-09-23,15991628.51
2019-09-30,16082531.77
2019-10-07,16420106.49
2019-10-14,16654828.14
2019-10-21,16958067.82
2019-10-28,16658111.92
2019-11-04,16498315.66
2019-11-11,16165363.44
2019-11-18,16391755.15
2019-11-25,16200135.53
2019-12-02,16302121.42
2019-12-09,16387287.7
2019-12-16,16443872.99
2019-12-23,16539848.25
2019-12-30,16685190.66
2020-01-06,17331904.29
2020-01-13,17562612.4
2020-01-20,16882507.19
2020-01-27,17412069.93
2020-02-03,17469170.91
2020-02-10,17578634.55
2020-02-17,16531661.84
2020-02-24,16492132.54
2020-03-02,15693400.7
2020-03-09,15343914.72
2020-03-16,14953201.21
2020-03-23,14979731.42
2020-03-30,14979077.34
2020-04-06,14842281.22
2020-04-13,14923509.84
2020-04-20,14868168.2
2020-04-27,14758157.75
2020-05-04,14657251.71
2020-05-11,14722942.05
2020-05-18,14755186.4
2020-05-25,14849854.56
2020-06-01,14976474.17
2020-06-08,15437835.09
2020-06-15,15512395.93
2020-06-22,15306794.47
2020-06-29,15481680.16
2020-07-06,15672114.25
2020-07-13,16065680.91
2020-07-20,16673864.02
2020-07-27,17380071.0
2020-08-03,17535579.23
2020-08-10,17985982.78
2020-08-17,18040196.99
2020-08-24,17723296.64
2020-08-31,17625319.5
2020-09-07,18582989.26
2020-09-14,17791954.58
2020-09-21,18371687.23
2020-09-28,18429985.74
2020-10-05,18339930.67
2020-10-12,18694023.7
2020-10-19,18727243.41
2020-10-26,19077681.5
2020-11-02,19643211.51
2020-11-09,19532738.0
2020-11-16,20192917.74
2020-11-23,20649999.15
2020-11-30,20856785.09
2020-12-07,21070045.25
2020-12-14,21358405.98
2020-12-21,22227150.38
2020-12-28,23118213.53
2021-01-04,22835957.72
2021-01-11,22742362.98
2021-01-18,22030399.66
2021-01-25,23788274.94
2021-02-01,24535332.11
2021-02-08,24777589.12
